Name,Code,City,State Code,State Name,Zipcode,Country Code,Accreditation Status,Organization Type,Category,Sub-Category,Residency - Number Positions,Residency - Estimated Stipend
Riverside Village Pharmacy/Belmont University College of Pharmacy,54917,Nashville,TN,Tennessee,37216,US,Candidate,Community Pharmacy,PGY1,Community-Based Pharmacy,1,50000
Rocking Horse Community Health Center,44115,Springfield,OH,Ohio,45505,US,Accredited,Health System,PGY1,Community-Based Pharmacy,1,51500
Safeway Pharmacy,94045,Clackamas,OR,Oregon,97015,US,Accredited,Community Pharmacy,PGY1,Community-Based Pharmacy,2,50000
Safeway Pharmacy/Midwestern University College of Pharmacy-Glendale,81024,Phoenix,AZ,Arizona,85027,US,Accredited,Community Pharmacy,PGY1,Community-Based Pharmacy,2,50000
Safeway Pharmacy/Regis University,82016,Centennial ,CO,Colorado,80112,US,Accredited,Community Pharmacy,PGY1,Community-Based Pharmacy,2,50000
Safeway Pharmacy/University of California San Francisco School of Pharmacy,92108,Pleasanton ,CA,California,94588,US,Accredited,Community Pharmacy,PGY1,Community-Based Pharmacy,1,50000
Safeway Pharmacy/University of Maryland - Baltimore School of Pharmacy,35029,Lanham,MD,Maryland,20706,US,Accredited,Community Pharmacy,PGY1,Community-Based Pharmacy,2,50000
Salina Family Healthcare Center,62207,Salina,KS,Kansas,67401,US,Pre-candidate,Community Pharmacy,PGY1,Community-Based Pharmacy,1,49000
Samford University McWhorter School of Pharmacy,51007,Birmingham,AL,Alabama,35229,US,Accredited,College of Pharmacy,PGY1,Community-Based Pharmacy,1,47500
Smith's Pharmacy,87008,Salt Lake City,UT,Utah,84104,US,Accredited,Community Pharmacy,PGY1,Community-Based Pharmacy,1,47000
South College School of Pharmacy,54037,Knoxville,TN,Tennessee,37922,US,Accredited,College of Pharmacy,PGY1,Community-Based Pharmacy,1,47470
South Dakota State University College of Pharmacy and Allied Health Professions,67007,Brookings,SD,South Dakota,57007,US,Accredited,College of Pharmacy,PGY1,Community-Based Pharmacy,1,47500
Southwest Care Center,86014,Albuquerque,NM,New Mexico,87109,US,Accredited,Health System,PGY1,Community-Based Pharmacy,1,42000
Southwestern Oklahoma State University (SWOSU) College of Pharmacy/Walgreen Co.,73008,Oklahoma City,OK,Oklahoma,73103,US,Accredited,Community Pharmacy,PGY1,Community-Based Pharmacy,1,47476
SpartanNash/Ferris State University,43019,Grand Rapids,MI,Michigan,49518,US,Accredited,Community Pharmacy,PGY1,Community-Based Pharmacy,1,52000
St. Luke’s Health System Boise and Nampa Outpatient Pharmacies,83015,Boise,ID,Idaho,83712,US,Accredited,Medical Center,PGY1,Community-Based Pharmacy,3,51000
St. Vincent’s Medical Center Outpatient Pharmacy,11013,Bridgeport,CT,Connecticut,6606,US,Accredited,Medical Center,PGY1,Community-Based Pharmacy,1,51917
Sullivan University College of Pharmacy and Health Sciences/ Walgreens Co.,52023,Louisville,KY,Kentucky,40205,US,Accredited,Hospital,PGY1,Community-Based Pharmacy,1,
Sun Life Family Health Center,81048,Casa Grande,AZ,Arizona,85122,US,Accredited,Health System,PGY1,Community-Based Pharmacy,2,47476
Terry Reilly,83016,Nampa,ID,Idaho,83653,US,Accredited,Community Pharmacy,PGY1,Community-Based Pharmacy,1,45000
Texas Southern University College of Pharmacy and Health Sciences,74038,Houston,TX,Texas,77004,US,Accredited,University,PGY1,Community-Based Pharmacy,1,42000
The Centers for Families and Children,44070,Cleveland,OH,Ohio,44103,US,Accredited,Community Pharmacy,PGY1,Community-Based Pharmacy,6,45000
The Ohio State University College of Pharmacy,44700,Columbus,OH,Ohio,43210-1291,US,Accredited,College of Pharmacy,PGY1,Community-Based Pharmacy,4,47500
The University of Kansas School of Pharmacy - Wichita and Dillons Pharmacy,62007,Wichita,KS,Kansas,67214,US,Accredited,Community Pharmacy,PGY1,Community-Based Pharmacy,1,49000
The University of Kansas School of Pharmacy and Balls Food Stores,62104,Kansas City,KS,Kansas,66160,US,Accredited,College of Pharmacy,PGY1,Community-Based Pharmacy,2,44500
The University of Rhode Island/ Walgreens Pharmacy,15005,Kingston,RI,Rhode Island,2881,US,Accredited,College of Pharmacy,PGY1,Community-Based Pharmacy,1,50000
"The University of Texas at El Paso School of Pharmacy
",74900,El Paso,TX,Texas,79968,US,Accredited,Community Pharmacy,PGY1,Community-Based Pharmacy,2,36500
The Valley Hospital/Valley Health Pharmacy,21025,Ridgewood,NJ,New Jersey,7450,US,Accredited,Hospital,PGY1,Community-Based Pharmacy,1,59000
"Thrifty Drug Stores, Inc.",63613,Fargo ,ND,North Dakota,58102,US,Pre-candidate,Community Pharmacy,PGY1,Community-Based Pharmacy,2,
Topeka Pharmacy/Purdue University,42043,Topeka,IN,Indiana,46571,US,Accredited,Community Pharmacy,PGY1,Community-Based Pharmacy,1,50000
Total Dose Pharmacy,73602,Edmond,OK,Oklahoma,73013,US,Accredited,Community Pharmacy,PGY1,Community-Based Pharmacy,,
Trellis RX @ Southern Ohio Medical Center,44912,Portsmouth,OH,Ohio,45662,US,Candidate,Medical Center,PGY1,Community-Based Pharmacy,1,50000
Trellis RX @ Summa Health System,44911,Akron,OH,Ohio,44304,US,Accredited,Health System,PGY1,Community-Based Pharmacy,1,50000
UNE/CVS Health and Apothecary by Design Specialty Pharmacy,12012,Portland,ME,Maine,4103,US,Accredited,College of Pharmacy,PGY1,Community-Based Pharmacy,1,47.5
UnityPoint Waterloo - Prairie Parkway Pharmacy,61017,Cedar Falls,IA,Iowa,50613,US,Accredited,Hospital,PGY1,Community-Based Pharmacy,2,47496
University at Buffalo School of Pharmacy and Pharmaceutical Sciences/Middleport Family Health Center,22025,Buffalo,NY,New York,14214,US,Accredited,College of Pharmacy,PGY1,Community-Based Pharmacy,2,40000
University Hospitals-UH Meds,44907,Parma,OH,Ohio,44130,US,Accredited,Community Pharmacy,PGY1,Community-Based Pharmacy,48,49000
University of Arizona College of Pharmacy/El Rio Community Health Center,81030,Tucson,AZ,Arizona,85745,US,Accredited,College of Pharmacy,PGY1,Community-Based Pharmacy,0,47659
University of Arkansas for Medical Sciences College of Pharmacy,71010,Little Rock,AR,Arkansas,72205-7101,US,Accredited,College of Pharmacy,PGY1,Community-Based Pharmacy,7,46000
University of California San Diego Skaggs School of Pharmacy and Pharmaceutical Sciences,92134,San Diego,CA,California,92093,US,Accredited,University,PGY1,Community-Based Pharmacy,1,53000
University of Chicago Medicine,41931,Chicago,IL,Illinois,60637,US,Pre-candidate,Medical Center,PGY1,Community-Based Pharmacy,,
University of Cincinnati College of Pharmacy,44051,Cincinnati,OH,Ohio,45267,US,Accredited,College of Pharmacy,PGY1,Community-Based Pharmacy,5,
University of Colorado Skaggs School of Pharmacy,82005,Aurora,CO,Colorado,80045,US,Accredited,Academic Health Science Center,PGY1,Community-Based Pharmacy,3,50000
University of Florida College of Pharmacy,33151,Gainesville,FL,Florida,32610,US,Accredited,College of Pharmacy,PGY1,Community-Based Pharmacy,3,
University of Illinois at Chicago College of Pharmacy,41040,Chicago,IL,Illinois,60612,US,Accredited,College of Pharmacy,PGY1,Community-Based Pharmacy,1,48000
University of Illinois at Chicago Specialty Pharmacy Services,41061,Chicago,IL,Illinois,60612,US,Accredited,College of Pharmacy,PGY1,Community-Based Pharmacy,2,48000
University of Iowa - College of Pharmacy,61102,Iowa City,IA,Iowa,52242-1112,US,Accredited,College of Pharmacy,PGY1,Community-Based Pharmacy,5,42500
University of Kentucky College of Pharmacy,52700,Lexington,KY,Kentucky,40536-0596,US,Accredited,College of Pharmacy,PGY1,Community-Based Pharmacy,3,47480
University of Maryland Eastern Shore (UMES) School of Pharmacy,35021,Princess Anne,MD,Maryland,21853,US,Accredited,Community Pharmacy,PGY1,Community-Based Pharmacy,1,50000
"University of Michigan Health System
",43028,Ann Arbor,MI,Michigan,48109,US,Accredited,Health System,PGY1,Community-Based Pharmacy,,
University of Mississippi School of Pharmacy,53001,Jackson,MS,Mississippi,39216-2618,US,Accredited,College of Pharmacy,PGY1,Community-Based Pharmacy,3,45000
University of Missouri - Kansas City School of Pharmacy,64048,Kansas City,MO,Missouri,64108,US,Accredited,College of Pharmacy,PGY1,Community-Based Pharmacy,1,47476
University of Missouri - Kansas City School of Pharmacy,64049,Kansas City,MO,Missouri,64108,US,Accredited,College of Pharmacy,PGY1,Community-Based Pharmacy,1,40000
University of Missouri - Kansas City School of Pharmacy,64306,Kansas City,MO,Missouri,64108,US,Accredited,College of Pharmacy,PGY1,Community-Based Pharmacy,1,43000
University of Missouri Health Care,64047,Columbia,MO,Missouri,65212,US,Accredited,Hospital,PGY1,Community-Based Pharmacy,2,48425
University of North Carolina at Chapel Hill,36101,Chapel Hill,NC,North Carolina,27599-7574,US,Accredited,College of Pharmacy,PGY1,Community-Based Pharmacy,16,
University of Pittsburgh School of Pharmacy,23950,Pittsburgh,PA,Pennsylvania,15261,US,Accredited,College of Pharmacy,PGY1,Community-Based Pharmacy,3,47500
University of Rochester Medical Center / Strong Memorial Hospital,22082,Rochester,NY,New York,14642,US,Accredited,Health System,PGY1,Community-Based Pharmacy,2,47508
University of South Carolina College of Pharmacy,37001,Columbia,SC,South Carolina,29208,US,Accredited,College of Pharmacy,PGY1,Community-Based Pharmacy,2,40000
University of Southern California School of Pharmacy,92103,Los Angeles,CA,California,90033,US,Accredited,College of Pharmacy,PGY1,Community-Based Pharmacy,7,61000
University of Tennessee College of Pharmacy,54100,Nashville,TN,Tennessee,37211,US,Accredited,College of Pharmacy,PGY1,Community-Based Pharmacy,3,47476
University of Virginia Health System,38033,Charlottesville,VA,Virginia,22908,US,Accredited,Health System,PGY1,Community-Based Pharmacy,1,52520
University of Wisconsin School of Pharmacy,45650,Madison,WI,Wisconsin,53705,US,Accredited,College of Pharmacy,PGY1,Community-Based Pharmacy,6,
UofL Health - UofL Hospital Specialty Pharmacy,52705,Louisville,KY,Kentucky,40202,US,Accredited,Health System,PGY1,Community-Based Pharmacy,1,
UW Northern Illinois - Swedish American Hospital,41092,Rockford,IL,Illinois,61104,US,Accredited,Health System,PGY1,Community-Based Pharmacy,2,47500
Valley Pharmacy,38023,Winchester,VA,Virginia,22604,US,Accredited,Health System,PGY1,Community-Based Pharmacy,1,41000
Vanderbilt University Medical Center - Specialty Pharmacy,54074,Nashville,TN,Tennessee,37211,US,Accredited,Medical Center,PGY1,Community-Based Pharmacy,1,54101
Virginia Commonwealth University School of Pharmacy,38400,Richmond,VA,Virginia,23298-0533,US,Accredited,College of Pharmacy,PGY1,Community-Based Pharmacy,6,
Virginia Garcia Memorial Health Center,94009,Hillsboro,OR,Oregon,97123,US,Accredited,Community Pharmacy,PGY1,Community-Based Pharmacy,2,45000
Wake Forest Baptist. a part of Atrium Health,36048,Winston-Salem,NC,North Carolina,27157,US,Accredited,Health System,PGY1,Community-Based Pharmacy,3,45150
Walgreens,53010,Jackson,MS,Mississippi,39216,US,Accredited,Community Pharmacy,PGY1,Community-Based Pharmacy,1,50000
Walgreens,63609,Roseville,MN,Minnesota,55113,US,Pre-candidate,Community Pharmacy,PGY1,Community-Based Pharmacy,1,50000
Walgreens,64035,Kansas City,MO,Missouri,64108,US,Accredited,Community Pharmacy,PGY1,Community-Based Pharmacy,1,50000
Walgreens & Midwestern University College of Pharmacy-Glendale,81021,Phoenix,AZ,Arizona,85034,US,Accredited,Health System,PGY1,Community-Based Pharmacy,1,50000
Walgreens - Northeastern University School of Pharmacy,13019,Boston,MA,Massachusetts,2215,US,Accredited,Multiple Organizations,PGY1,Community-Based Pharmacy,1,50000
"Walgreens / University of California, San Francisco (UCSF)",92164,San Francisco,CA,California,94143,US,Accredited,Community Pharmacy,PGY1,Community-Based Pharmacy,1,50000
Walgreens and Belmont University,54913,Nashville,TN,Tennessee,37203,US,Pre-candidate,University,PGY1,Community-Based Pharmacy,,
Walgreens and Ferris State,43966,Grand Rapids,MI,Michigan,49512,US,Pre-candidate,Community Pharmacy,PGY1,Community-Based Pharmacy,,
Walgreens and Florida A&M University,33956,Orlando,FL,Florida,32809,US,Pre-candidate,Community Pharmacy,PGY1,Community-Based Pharmacy,,
Walgreens and MCPHS University - Boston,13100,Boston,MA,Massachusetts,2115,US,Accredited,Community Pharmacy,PGY1,Community-Based Pharmacy,1,50000
Walgreens and Nova Southeastern University (Puerto Rico Regional Campus),1101,San Juan,PR,Puerto Rico,918,US,Pre-candidate,Community Pharmacy,PGY1,Community-Based Pharmacy,1,50000
Walgreens and Nova Southeastern University College of Pharmacy Community Residency Program,33124,Miami,FL,Florida,33137-9800,US,Accredited,Community Pharmacy,PGY1,Community-Based Pharmacy,,
Walgreens and Rutgers University,21034,Piscataway,NJ,New Jersey,8854,US,Accredited,Community Pharmacy,PGY1,Community-Based Pharmacy,1,
Walgreens and the University of Cincinnati,44128,Cincinnati,OH,Ohio,45219,US,Accredited,Community Pharmacy,PGY1,Community-Based Pharmacy,1,50000
Walgreens Pharmacy 13641,34810,Atlanta,GA,Georgia,30309,US,Pre-candidate,Community Pharmacy,PGY1,Community-Based Pharmacy,,
"Walgreens Pharmacy and the University of Illinois at Chicago, College of Pharmacy",41021,Chicago,IL,Illinois,60611,US,Accredited,College of Pharmacy,PGY1,Community-Based Pharmacy,1,50000
Walgreens/Howard University College of Pharmacy,32003,Washington,DC,District of Columbia,20059,US,Accredited,University,PGY1,Community-Based Pharmacy,1,50000
Walgreens/Massachusetts College of Pharmacy and Health Sciences - Worcester,13014,Worcester,MA,Massachusetts,1608,US,Accredited,Community Pharmacy,PGY1,Community-Based Pharmacy,1,50000
Walgreens/Purdue University College of Pharmacy,13007,Indianapolis,IN,Indiana,46256,US,Accredited,University,PGY1,Community-Based Pharmacy,1,50000
Walgreens/St. Louis College of Pharmacy at UHSP,64014,St. Louis,MO,Missouri,63110,US,Accredited,Community Pharmacy,PGY1,Community-Based Pharmacy,1,50000
Walgreens/University of Houston College of Pharmacy,74042,Houston,TX,Texas,77030,US,Accredited,University,PGY1,Community-Based Pharmacy,1,50000
West Virginia University School of Pharmacy,39300,Morgantown,WV,West Virginia,26506-9520,US,Accredited,College of Pharmacy,PGY1,Community-Based Pharmacy,3,40000
"Western New England University College of Pharmacy & Health Sciences/Big Y Foods, Inc.",13041,Springfield,MA,Massachusetts,1119,US,Accredited,College of Pharmacy,PGY1,Community-Based Pharmacy,1,50000
Western New England University College of Pharmacy & Health Sciences/Walgreens,13022,Springfield,MA,Massachusetts,1119,US,Accredited,College of Pharmacy,PGY1,Community-Based Pharmacy,1,50000
Western University of Health Sciences College of Pharmacy,92114,Los Angeles,CA,California,91766,US,Accredited,College of Pharmacy,PGY1,Community-Based Pharmacy,1,58000
"Wilkes University, Nesbitt School of Pharmacy/Weis Markets",23110,Wilkes-Barre,PA,Pennsylvania,18766,US,Accredited,Community Pharmacy,PGY1,Community-Based Pharmacy,1,50000
WVU Medicine - Allied Health Solutions Specialty Pharmacy,39701,Morgantown,WV,West Virginia,26506,US,Accredited,Health System,PGY1,Community-Based Pharmacy,1,47000
Yale New Haven Hospital,11029,Hamden,CT,Connecticut,6514,US,Accredited,Hospital,PGY1,Community-Based Pharmacy,1,50000
